Name,Value,Timestamp,Step
total_loss,2.872077837586403,99,99
total_val_loss,5.715896666049957,99,99
val_loss_box_reg,0.34699004888534546,99,99
val_loss_cls,2.4588615894317627,99,99
val_loss_mask,0.6935580968856812,99,99
val_loss_rpn_cls,1.9621548652648926,99,99
val_loss_rpn_loc,0.2543320655822754,99,99
data_time,0.03244718099995225,101,101
eta_seconds,4273.511452658931,101,101
fast_rcnn/cls_accuracy,0.755859375,101,101
fast_rcnn/false_negative,0.98046875,101,101
fast_rcnn/fg_cls_accuracy,0.015625,101,101
loss_box_reg,0.620934247970581,101,101
loss_cls,0.8654626309871674,101,101
loss_mask,0.45737355947494507,101,101
loss_rpn_cls,0.3574410527944565,101,101
loss_rpn_loc,0.5689249336719513,101,101
lr,0.000499505,101,101
mask_rcnn/accuracy,0.7862274792729592,101,101
mask_rcnn/false_negative,0.04189960920844072,101,101
mask_rcnn/false_positive,0.6162462603852694,101,101
roi_head/num_bg_samples,384.0,101,101
roi_head/num_fg_samples,128.0,101,101
rpn/num_neg_anchors,128.0,101,101
rpn/num_pos_anchors,128.0,101,101
time,0.3976070239996261,101,101
total_loss,2.872077837586403,101,101
total_val_loss,4.282339707016945,101,101
val_loss_box_reg,0.4201245903968811,101,101
val_loss_cls,1.6248341798782349,101,101
val_loss_mask,0.5939242541790009,101,101
val_loss_rpn_cls,1.1799961477518082,101,101
val_loss_rpn_loc,0.4634605348110199,101,101
data_time,0.03157957900020847,119,119
eta_seconds,4237.347989950649,119,119
fast_rcnn/cls_accuracy,0.7626953125,119,119
fast_rcnn/false_negative,0.8984375,119,119
fast_rcnn/fg_cls_accuracy,0.1015625,119,119
loss_box_reg,0.5456231832504272,119,119
loss_cls,0.8078990280628204,119,119
loss_mask,0.4050187021493912,119,119
loss_rpn_cls,0.3306061774492264,119,119
loss_rpn_loc,0.4990808516740799,119,119
lr,0.0005994050000000001,119,119
mask_rcnn/accuracy,0.8130131935586735,119,119
mask_rcnn/false_negative,0.06549754039982483,119,119
mask_rcnn/false_positive,0.495423350787077,119,119
roi_head/num_bg_samples,384.0,119,119
roi_head/num_fg_samples,128.0,119,119
rpn/num_neg_anchors,128.0,119,119
rpn/num_pos_anchors,128.0,119,119
time,0.4208181904996309,119,119
total_loss,2.6423395201563835,119,119
total_val_loss,4.282339707016945,119,119
val_loss_box_reg,0.4201245903968811,119,119
val_loss_cls,1.6248341798782349,119,119
val_loss_mask,0.5939242541790009,119,119
val_loss_rpn_cls,1.1799961477518082,119,119
val_loss_rpn_loc,0.4634605348110199,119,119
